,index,Cube Name,Cubecon Type,cardID,addedTmsp,details_name,details_full_name,details_artist,details_rarity,details_color_identity,details_colors,details_set,details_released_at,details_cmc,details_parsed_cost,details_type,details_elo,details_popularity,details_cubeCount,details_loyalty,details_power,details_toughness
205,205,Tiny Leaders,Pre-Accepted,c920236f-c3d7-421c-b021-103996da790e,1681610394269,Genesis Wave,Genesis Wave [som-122],James Paick,rare,['G'],['G'],som,2010-10-01,3,"['g', 'g', 'g', 'x']",Sorcery,1257.700000000034,2.328575504721872,3346,,,
206,206,Tiny Leaders,Pre-Accepted,72c1a731-7854-42b1-8719-ac3c2a269c1f,1681610467731,Arcbound Ravager,Arcbound Ravager [dst-100],Carl Critchlow,rare,[],[],dst,2004-02-06,2,['2'],Artifact Creature — Beast,1370.5000000000496,3.502606250826415,5033,,0,0
207,207,Tiny Leaders,Pre-Accepted,be065962-f2ed-4ab9-be6b-bfc66d63ff4e,1681610471695,Signal Pest,Signal Pest [mbs-131],Mark Zug,uncommon,[],[],mbs,2011-02-04,1,['1'],Artifact Creature — Pest,1276.8999999998762,5.20484644345932,7479,,0,1
208,208,Tiny Leaders,Pre-Accepted,1146c418-2176-466e-8a06-f2ef6bf2b1a9,1681610478538,Crystalline Giant,Crystalline Giant [iko-234],Jason Rainville,rare,[],[],iko,2020-04-24,3,['3'],Artifact Creature — Giant,1350.9000000000158,2.3445818515863683,3369,,3,3
209,209,Tiny Leaders,Pre-Accepted,9341ed06-53db-4604-b60a-3ea9129afbc2,1681610506287,The Ozolith,The Ozolith [iko-237],Sam Burley,rare,[],[],iko,2020-04-24,1,['1'],Legendary Artifact,1293.299999999964,2.3849456828098794,3427,,,
210,210,Tiny Leaders,Pre-Accepted,b34bf7fd-9fe3-43e2-8cfe-7ce7cff08afe,1681610629463,Stonecoil Serpent,Stonecoil Serpent [eld-235],Mark Poole,rare,[],[],eld,2019-10-04,0,['x'],Artifact Creature — Snake,1334.600000000204,10.205785946427453,14665,,0,0
211,211,Tiny Leaders,Pre-Accepted,3fb27f1e-21fb-4017-8ef2-37c3206003e3,1681610636597,Steel Overseer,Steel Overseer [brc-164],Chris Rahn,rare,[],[],brc,2022-11-18,2,['2'],Artifact Creature — Construct,1272.0000000000925,4.540235084520471,6524,,1,1
212,212,Tiny Leaders,Pre-Accepted,29148d7e-b398-4e19-a29e-d9a660ad5016,1681610784507,Mirage Mirror,Mirage Mirror [hou-165],Craig J Spearing,rare,[],[],hou,2017-07-14,3,['3'],Artifact,1238.3999999999373,2.7739695044295827,3986,,,
213,213,Tiny Leaders,Pre-Accepted,3e1766e9-2fa7-4446-a255-7beea1467ece,1681610801964,Lion Sash,Lion Sash [neo-26],Yongjae Choi,rare,['W'],['W'],neo,2022-02-18,2,"['w', '1']",Artifact Creature — Equipment Cat,1344.100000000703,6.534069161337017,9389,,1,1
214,214,Tiny Leaders,Pre-Accepted,4a0bb5dc-75a6-4bd6-81f8-611197fb0fba,1681610808528,Nettlecyst,Nettlecyst [mh2-231],Vincent Proce,rare,[],[],mh2,2021-06-18,3,['3'],Artifact — Equipment,1340.60000000012,3.587509482020697,5155,,,
215,215,Tiny Leaders,Pre-Accepted,f55fe038-c903-4d92-b689-72dd6d041a91,1681610855754,Gingerbrute,Gingerbrute [eld-219],Vincent Proce,common,[],[],eld,2019-10-04,1,['1'],Artifact Creature — Food Golem,1303.4999999998722,8.977472806608533,12900,,1,1
216,216,Tiny Leaders,Pre-Accepted,6f4bcadd-7eff-4294-94d5-52482a734d5b,1681610862326,Hope of Ghirapur,Hope of Ghirapur [aer-154],Lius Lasahido,rare,[],[],aer,2017-01-20,1,['1'],Legendary Artifact Creature — Thopter,1307.80000000005,1.911018629995894,2746,,1,1
217,217,Tiny Leaders,Pre-Accepted,520e5505-429b-4da0-b25e-14b8d4e81ce3,1681610888649,Containment Construct,Containment Construct [neo-243],Julian Kok Joon Wen,uncommon,[],[],neo,2022-02-18,2,['2'],Artifact Creature — Construct,1260.0000000002162,2.5860689108028923,3716,,2,1
218,218,Tiny Leaders,Pre-Accepted,f3537373-ef54-4578-9d05-6216420ee349,1681610923752,Esper Sentinel,Esper Sentinel [mh2-12],Eric Deschamps,rare,['W'],['W'],mh2,2021-06-18,1,['w'],Artifact Creature — Human Soldier,1483.3999999992398,7.917574272929092,11377,,1,1
219,219,Tiny Leaders,Pre-Accepted,8d54c510-19bf-4da4-a51b-1caadf960654,1681611020989,Arcbound Shikari,Arcbound Shikari [mh2-184],Campbell White,uncommon,"['R', 'W']","['R', 'W']",mh2,2021-06-18,3,"['w', 'r', '1']",Artifact Creature — Cat Soldier,1188.6999999999712,1.8052375550653128,2594,,0,0
220,220,Tiny Leaders,Pre-Accepted,4b942605-eb4a-452d-9b07-a4f912f96958,1681611025034,Perilous Myr,Perilous Myr [som-192],Jason Felix,common,[],[],som,2010-10-01,2,['2'],Artifact Creature — Phyrexian Myr,1260.099999999701,7.742200385544181,11125,,1,1
221,221,Tiny Leaders,Pre-Accepted,75561093-8892-4b51-813a-c933a06d8cbd,1681611045929,Arcbound Worker,Arcbound Worker [dst-104],Darrell Riche,common,[],[],dst,2004-02-06,1,['1'],Artifact Creature — Construct,1315.8000000000056,1.6521333676657874,2374,,0,0
222,222,Tiny Leaders,Pre-Accepted,7e68f4df-88ce-4e09-a03c-7edf40bff167,1681611984719,Sevinne's Reclamation,Sevinne's Reclamation [c19-5],Zoltan Boros,rare,['W'],['W'],c19,2019-08-23,3,"['w', '2']",Sorcery,1335.7000000001508,4.581990771993069,6584,,,
223,223,Tiny Leaders,Pre-Accepted,b83cfbaa-7890-4f6f-878b-4edb45677371,1681612031959,Skyclave Apparition,Skyclave Apparition [znr-39],Donato Giancola,rare,['W'],['W'],znr,2020-09-25,3,"['w', 'w', '1']",Creature — Kor Spirit,1416.9000000021053,10.501555399358354,15090,,2,2
224,224,Tiny Leaders,Pre-Accepted,59faa45d-868b-4bc7-934c-0e077642e129,1681612069108,Loran of the Third Path,Loran of the Third Path [bro-12],Steven Belledin,rare,['W'],['W'],bro,2022-11-18,3,"['w', '2']",Legendary Creature — Human Artificer,1355.2000000001378,2.258286764142999,3245,,2,1
225,225,Tiny Leaders,Pre-Accepted,05e2a5e6-3aaa-4096-bdd0-fcc1afe5a36c,1681612132562,Legion's Landing,Legion's Landing [xln-22],Svetlin Velinov,rare,['W'],['W'],xln,2017-09-29,1,['w'],Legendary Enchantment,1262.3000000000973,8.781917003611866,12619,,,
226,226,Tiny Leaders,Pre-Accepted,17f28b16-da65-41a8-ba4f-f1c5e104aad6,1681612169307,Council's Judgment,Council's Judgment [cns-16],Kev Walker,rare,['W'],['W'],cns,2014-06-06,3,"['w', 'w', '1']",Sorcery,1296.3000000016323,9.320565372008378,13393,,,
227,227,Tiny Leaders,Pre-Accepted,d79b8974-796c-4f88-a0cb-5afbaf26fd24,1681612180533,Digsite Engineer,Digsite Engineer [c21-15],Zoltan Boros,rare,['W'],['W'],c21,2021-04-23,3,"['w', '2']",Creature — Dwarf Artificer,1279.8000000000548,1.5289540896216238,2197,,3,3
228,228,Tiny Leaders,Pre-Accepted,f18f2608-0d44-442c-97a1-12ac94b7abac,1681612191844,Maul of the Skyclaves,Maul of the Skyclaves [znr-27],Joseph Meehan,rare,['W'],['W'],znr,2020-09-25,3,"['w', '2']",Artifact — Equipment,1275.599999999836,6.0295212710431265,8664,,,
229,229,Tiny Leaders,Pre-Accepted,fe964e7e-e2c5-4263-889d-0a531eb51442,1681612196286,Luminarch Aspirant,Luminarch Aspirant [znr-24],Mads Ahm,rare,['W'],['W'],znr,2020-09-25,2,"['w', '1']",Creature — Human Cleric,1384.5000000005768,9.008789572212981,12945,,1,1
230,230,Tiny Leaders,Pre-Accepted,09cfe585-8a55-4b27-89e0-dfb6946fe1f3,1681612458914,Journey to Nowhere,Journey to Nowhere [zen-14],Warren Mahy,common,['W'],['W'],zen,2009-10-02,2,"['w', '1']",Enchantment,1350.6000000003692,9.055416756557383,13012,,,
231,231,Tiny Leaders,Pre-Accepted,08950015-eee5-4327-888c-82dfd13bb9ad,1681612562602,The Meathook Massacre,The Meathook Massacre [mid-112],Chris Seaman,mythic,['B'],['B'],mid,2021-09-24,2,"['b', 'b', 'x']",Legendary Enchantment,1435.00000000025,3.625089600746035,5209,,,
232,232,Tiny Leaders,Pre-Accepted,67f4c93b-080c-4196-b095-6a120a221988,1681612571280,Agadeem's Awakening,Agadeem's Awakening [znr-90],Dmitry Burmak,mythic,['B'],['B'],znr,2020-09-25,3,"['b', 'b', 'b', 'x']",Sorcery,1314.900000000168,3.549929363295359,5101,,,
233,233,Tiny Leaders,Pre-Accepted,e3378fe8-3355-48aa-90d4-9cb739200160,1681612601828,Priest of Forgotten Gods,Priest of Forgotten Gods [rna-83],Zack Stella,rare,['B'],['B'],rna,2019-01-25,2,"['b', '1']",Creature — Human Cleric,1303.5999999997632,6.697612270604692,9624,,1,2
234,234,Tiny Leaders,Pre-Accepted,1ee98955-4c47-4d45-9377-608dfa755337,1681612645401,Bone Shards,Bone Shards [mh2-76],Tommy Arnold,common,['B'],['B'],mh2,2021-06-18,1,['b'],Sorcery,1330.200000001074,7.234868782752117,10396,,,
235,235,Tiny Leaders,Pre-Accepted,086fc7fb-efcf-4676-8455-39b63edaec6a,1681612688784,Nullpriest of Oblivion,Nullpriest of Oblivion [znr-118],Yongjae Choi,rare,['B'],['B'],znr,2020-09-25,2,"['b', '1']",Creature — Vampire Cleric,1342.9999999998442,5.241730634060114,7532,,2,1
236,236,Tiny Leaders,Pre-Accepted,753db072-5d6a-4f37-8f7d-255572ecd3bd,1681612764626,Cut Down,Cut Down [dmu-89],Dominik Mayer,uncommon,['B'],['B'],dmu,2022-09-09,1,['b'],Instant,1444.6000000000165,2.3452777797109117,3370,,,
237,237,Tiny Leaders,Pre-Accepted,31b1bf08-aba1-4197-8afe-05c1fc783307,1681612890381,Ledger Shredder,Ledger Shredder [snc-412],Mila Pesic,rare,['U'],['U'],snc,2022-04-29,2,"['u', '1']",Creature — Bird Advisor,1488.600000000139,3.9138997724315034,5624,,1,3
238,238,Tiny Leaders,Pre-Accepted,a3bb2881-e8fb-4fba-a9f9-d93e6ca24378,1681613171639,"Laelia, the Blade Reforged","Laelia, the Blade Reforged [c21-53]",Wisnu Tan,rare,['R'],['R'],c21,2021-04-23,3,"['r', '2']",Legendary Creature — Spirit Warrior,1564.5000000001196,5.148476265371312,7398,,2,2
239,239,Tiny Leaders,Pre-Accepted,48268bb8-1326-451b-9fae-de6605eb6cfd,1681613179397,Jaya's Immolating Inferno,Jaya's Immolating Inferno [dom-133],Noah Bradley,rare,['R'],['R'],dom,2018-04-27,2,"['r', 'r', 'x']",Legendary Sorcery,1243.6000000000386,1.4482264271746015,2081,,,
240,240,Tiny Leaders,Pre-Accepted,2cabfcfe-012e-4cab-bba2-24052eac0946,1681613241768,"Chandra, Acolyte of Flame","Chandra, Acolyte of Flame [m20-126]",Anna Steinbauer,rare,['R'],['R'],m20,2019-07-12,3,"['r', 'r', '1']",Legendary Planeswalker — Chandra,1293.600000000606,5.158915187239462,7413,4,,
241,241,Tiny Leaders,Pre-Accepted,89a2c408-e953-4386-abaf-4af85aba9620,1681613428274,Bow of Nylea,Bow of Nylea [ths-153],Yeong-Hao Han,rare,['G'],['G'],ths,2013-09-27,3,"['g', 'g', '1']",Legendary Enchantment Artifact,1258.8999999999592,2.443403645271516,3511,,,
242,242,Tiny Leaders,Pre-Accepted,46199391-a4f5-4532-b89c-b7691b229bd0,1681613451506,Ulvenwald Tracker,Ulvenwald Tracker [avr-200],Christopher Moeller,rare,['G'],['G'],avr,2012-05-04,1,['g'],Creature — Human Shaman,1260.1999999999002,2.8254681856457866,4060,,1,1
243,243,Tiny Leaders,Pre-Accepted,1f5d274c-3a03-4f0d-97e8-7eef6508105d,1681613639356,Shivan Devastator,Shivan Devastator [dmu-143],Brent Hollowell,mythic,['R'],['R'],dmu,2022-09-09,1,"['r', 'x']",Creature — Dragon Hydra,1365.5999999999817,1.107917574272929,1592,,0,0
244,244,Tiny Leaders,Pre-Accepted,5c63877b-cdab-4ce4-a1c0-c088eb62a57a,1681613663117,Electrodominance,Electrodominance [rna-99],Dmitry Burmak,rare,['R'],['R'],rna,2019-01-25,2,"['r', 'r', 'x']",Instant,1298.800000000173,3.0175443480197366,4336,,,
245,245,Tiny Leaders,Pre-Accepted,825969b9-3c70-4fca-8cab-696e9ca7cdb2,1681614340431,Prismatic Ending,Prismatic Ending [mh2-25],John Stanko,uncommon,['W'],['W'],mh2,2021-06-18,1,"['w', 'x']",Sorcery,1368.5999999992307,5.351687277737955,7690,,,
246,246,Tiny Leaders,Pre-Accepted,801dd9c6-b159-4e1c-af2c-214c1f573633,1681614394142,Hydroid Krasis,Hydroid Krasis [rna-183],Jason Felix,mythic,"['G', 'U']","['G', 'U']",rna,2019-01-25,2,"['u', 'g', 'x']",Creature — Jellyfish Hydra Beast,1203.9000000005371,10.15846283395851,14597,,0,0
247,247,Tiny Leaders,Pre-Accepted,16e040c3-bf42-4a5b-aeb3-5dc9921151e5,1681756501173,Death's Shadow,Death's Shadow [wwk-57],Howard Lyon,rare,['B'],['B'],wwk,2010-02-05,1,['b'],Creature — Avatar,1224.9999999999268,1.597155045826867,2295,,13,13
248,248,Tiny Leaders,Pre-Accepted,4dea7bcc-3ff8-40b0-8264-0cd678d6ff31,1681756505467,Scourge of the Skyclaves,Scourge of the Skyclaves [znr-122],Chase Stone,mythic,['B'],['B'],znr,2020-09-25,2,"['b', '1']",Creature — Demon,1227.0999999999513,1.2728525397896906,1829,,*,*
249,249,Tiny Leaders,Pre-Accepted,b281a308-ab6b-47b6-bec7-632c9aaecede,2023-04-17T18:35:40.224Z,Thoughtseize,Thoughtseize [2xm-109],Aleksi Briclot,rare,['B'],['B'],2xm,2020-08-07,1,['b'],Sorcery,1572.6000000035501,15.615235258502501,22438,,,
250,250,Tiny Leaders,Pre-Accepted,5bb3cb5c-8d66-4f5e-a9a9-917e6045f024,2023-04-17T18:35:50.926Z,Flickerwisp,Flickerwisp [eve-6],Jeremy Enecio,uncommon,['W'],['W'],eve,2008-07-25,3,"['w', 'w', '1']",Creature — Elemental,1323.4000000008116,17.863779028901895,25669,,3,1
251,251,Tiny Leaders,Pre-Accepted,6e3510f5-e450-400b-98ea-341dbf212054,2023-04-17T18:36:08.314Z,Wall of Omens,Wall of Omens [roe-53],James Paick,uncommon,['W'],['W'],roe,2010-04-23,2,"['w', '1']",Creature — Wall,1278.2000000002115,15.778082439645633,22672,,0,4
252,252,Tiny Leaders,Pre-Accepted,cb7a2770-9a20-4f52-aac4-24502f50e374,2023-04-17T18:36:52.908Z,Abbot of Keral Keep,Abbot of Keral Keep [ori-127],Deruchenko Alexander,rare,['R'],['R'],ori,2015-07-17,2,"['r', '1']",Creature — Human Monk,1273.6000000000026,8.892569575414251,12778,,2,1
253,253,Tiny Leaders,Pre-Accepted,5b8c1303-6829-4c82-96de-a67bc0d72e42,1681756777560,Exocrine,Exocrine [40k-76],Cory Trego-Erdner,rare,['R'],['R'],40k,2022-10-07,3,"['r', '2', 'x']",Creature — Tyranid,1230.699999999999,0.13918562490865943,200,,2,2
254,254,Tiny Leaders,Pre-Accepted,322cdf67-5b36-43f9-99b3-f0e24d423314,1681757393716,Master of Etherium,Master of Etherium [ala-49],Matt Cavotta,rare,['U'],['U'],ala,2008-10-03,3,"['u', '2']",Artifact Creature — Vedalken Wizard,1306.3999999999326,2.8185089044003537,4050,,*,*
255,255,Tiny Leaders,Pre-Accepted,1431fe83-7dc7-4c40-8d66-6525560e4323,1681757412328,Zenith Chronicler,Zenith Chronicler [one-246],Johann Bodin,rare,[],[],one,2023-02-03,2,['2'],Artifact Creature — Phyrexian Construct,1284.500000000004,0.1739820311358243,250,,3,1
256,256,Tiny Leaders,Pre-Accepted,12b9c9c5-e992-4f1c-a779-124176c3aade,1681757624589,Surge Engine,Surge Engine [bro-81],Daarken,mythic,['U'],[],bro,2022-11-18,2,['2'],Artifact Creature — Construct,1301.699999999987,0.5810999839936531,835,,3,2
257,257,Tiny Leaders,Pre-Accepted,f0cd5548-ce7b-493a-8119-62f000839e4d,1681757807337,Oblivion Stone,Oblivion Stone [ncc-373],Gabor Szikszai,rare,[],[],ncc,2022-04-29,3,['3'],Artifact,1206.6000000006786,4.462987062696165,6413,,,
258,258,Tiny Leaders,Pre-Accepted,187b6719-e5ed-4615-a00b-3313ceca055b,1681757817519,Currency Converter,Currency Converter [ncc-81],Sean Murray,rare,[],[],ncc,2022-04-29,1,['1'],Artifact,1394.4999999999695,1.2304009241925493,1768,,,
259,259,Tiny Leaders,Pre-Accepted,6f807d91-b157-44e8-a431-49782184f876,1681758055501,Wrenn and Realmbreaker,Wrenn and Realmbreaker [mom-217],Cristi Balanescu,mythic,['G'],['G'],mom,2023-04-21,3,"['g', 'g', '1']",Legendary Planeswalker — Wrenn,1417.4000000000044,0.46070441844766274,662,4,,
260,260,Tiny Leaders,Pre-Accepted,39d51c5e-26cb-4276-a676-fabfef866248,1681758096631,Gideon Blackblade,Gideon Blackblade [war-13],Viktor Titov,mythic,['W'],['W'],war,2019-05-03,3,"['w', 'w', '1']",Legendary Planeswalker — Gideon,1267.1000000002778,6.385140542684751,9175,4,,
261,261,Tiny Leaders,Pre-Accepted,a600b97b-1851-4b1b-a2af-f80e0307c02c,1681758782164,"Nissa, Voice of Zendikar","Nissa, Voice of Zendikar [ogw-138]",Raymond Swanland,mythic,['G'],['G'],ogw,2016-01-22,3,"['g', 'g', '1']",Legendary Planeswalker — Nissa,1262.6000000002134,6.116512286611039,8789,3,,
262,262,Tiny Leaders,Pre-Accepted,98c85699-2daf-4e87-a3be-465d02bd64bb,1681758829878,Basri Ket,Basri Ket [m21-7],Kieran Yanner,mythic,['W'],['W'],m21,2020-07-03,3,"['w', 'w', '1']",Legendary Planeswalker — Basri,1249.0000000001917,2.3689393359453836,3404,3,,
263,263,Tiny Leaders,Pre-Accepted,939c6e19-4b27-4023-bb9c-ae440f91e21c,2023-04-20T01:35:54.126Z,Shadowspear,Shadowspear [thb-236],Yeong-Hao Han,rare,[],[],thb,2020-01-24,1,['1'],Legendary Artifact — Equipment,1340.4000000005854,7.43807979511876,10688,,,
264,264,Tiny Leaders,Pre-Accepted,34d92077-d7b2-4996-848f-fd4917e2fb42,2023-04-20T01:36:03.323Z,Eater of Virtue,Eater of Virtue [neo-245],Tuan Duong Chu,rare,[],[],neo,2022-02-18,1,['1'],Legendary Artifact — Equipment,1283.4000000003,2.9945787199098075,4303,,,
265,265,Tiny Leaders,Pre-Accepted,599c3c9f-dfb7-4357-9d9c-9a1a4616b103,1682954232639,"Ashiok, Nightmare Weaver","Ashiok, Nightmare Weaver [ths-188]",Karla Ortiz,mythic,"['B', 'U']","['B', 'U']",ths,2013-09-27,3,"['b', 'u', '1']",Legendary Planeswalker — Ashiok,1406.2000000001851,6.124863424105558,8801,3,,
266,266,Tiny Leaders,Pre-Accepted,ad30aec2-cb67-4c92-9694-d33bef1884ee,1682954245054,"Daretti, Ingenious Iconoclast","Daretti, Ingenious Iconoclast [cn2-74]",Victor Adame Minguez,mythic,"['B', 'R']","['B', 'R']",cn2,2016-08-26,3,"['r', 'b', '1']",Legendary Planeswalker — Daretti,1301.9000000011326,7.044880404751797,10123,3,,
267,267,Tiny Leaders,Pre-Accepted,69af2825-18c2-4463-b6ba-42eaa070ccc1,1682954263523,"Grist, the Hunger Tide","Grist, the Hunger Tide [mh2-202]",Yongjae Choi,mythic,"['B', 'G']","['B', 'G']",mh2,2021-06-18,3,"['g', 'b', '1']",Legendary Planeswalker — Grist,1317.90000000098,5.605701043196259,8055,3,,
268,268,Tiny Leaders,Pre-Accepted,2d35a710-3008-4e27-8afd-6e83329f9917,1682954268622,Kaito Shizuki,Kaito Shizuki [neo-226],Yongjae Choi,mythic,"['B', 'U']","['B', 'U']",neo,2022-02-18,3,"['b', 'u', '1']",Legendary Planeswalker — Kaito,1308.5000000000878,2.3967764609271156,3444,3,,
269,269,Tiny Leaders,Pre-Accepted,fdb4b2ef-5196-4f7f-88ff-64b2cdb36c6b,1682954286034,"Kaya, Orzhov Usurper","Kaya, Orzhov Usurper [rna-186]",Yongjae Choi,mythic,"['B', 'W']","['B', 'W']",rna,2019-01-25,3,"['b', 'w', '1']",Legendary Planeswalker — Kaya,1192.2999999999633,2.18451838294141,3139,3,,
270,270,Tiny Leaders,Pre-Accepted,c79036a1-2239-4d4f-8b58-6cf9ac4863fc,1682954313521,"Nissa, Steward of Elements","Nissa, Steward of Elements [akh-204]",Howard Lyon,mythic,"['G', 'U']","['G', 'U']",akh,2017-04-28,2,"['u', 'g', 'x']",Legendary Planeswalker — Nissa,1263.6999999999111,3.3996088883940065,4885,X,,
271,271,Tiny Leaders,Pre-Accepted,80226520-6b0a-48ea-a868-a29eb3fbd403,1682954318601,"Ob Nixilis, the Adversary","Ob Nixilis, the Adversary [snc-206]",Yongjae Choi,mythic,"['B', 'R']","['B', 'R']",snc,2022-04-29,3,"['r', 'b', '1']",Legendary Planeswalker — Nixilis,1289.0000000001405,2.025846770545538,2911,3,,
272,272,Tiny Leaders,Pre-Accepted,94b38464-39cd-4ee6-b9bf-a0bc1e128d9a,1682954329721,Saheeli Rai,Saheeli Rai [kld-186],Willian Murai,mythic,"['R', 'U']","['R', 'U']",kld,2016-09-30,3,"['r', 'u', '1']",Legendary Planeswalker — Saheeli,1321.2999999999322,2.7565713013160003,3961,3,,
273,273,Tiny Leaders,Pre-Accepted,5cb76266-ae50-4bbc-8f96-d98f309b02d3,1682954335607,"Teferi, Time Raveler","Teferi, Time Raveler [war-221]",Chris Rallis,rare,"['U', 'W']","['U', 'W']",war,2019-05-03,3,"['u', 'w', '1']",Legendary Planeswalker — Teferi,1492.500000000822,7.5647387137856406,10870,4,,
274,274,Tiny Leaders,Pre-Accepted,4a706ecf-3277-40e3-871c-4ba4ead16e20,1682954351249,Wrenn and Six,Wrenn and Six [mh1-217],Chase Stone,mythic,"['G', 'R']","['G', 'R']",mh1,2019-06-14,2,"['g', 'r']",Legendary Planeswalker — Wrenn,1534.2999999999063,8.358792703889542,12011,3,,
275,275,Tiny Leaders,Pre-Accepted,66605fe1-9a20-4c95-b53e-1249cedb978b,1682954355647,"Tyvar, Jubilant Brawler","Tyvar, Jubilant Brawler [one-218]",Victor Adame Minguez,rare,"['B', 'G']","['B', 'G']",one,2023-02-03,3,"['g', 'b', '1']",Legendary Planeswalker — Tyvar,1214.6999999999966,0.40294238411056904,579,3,,
276,276,Tiny Leaders,Pre-Accepted,550b70e0-ebd5-49de-b62c-5224b8bf8e98,2023-05-01T15:21:03.036Z,Gruul Turf,Gruul Turf [gpt-158],John Avon,common,"['G', 'R']",[],gpt,2006-02-03,0,[''],Land,1261.5999999999008,7.992734510379768,11485,,,
277,277,Tiny Leaders,Pre-Accepted,c5e51787-f9c9-4926-9df1-a384a3092676,2023-05-01T15:21:03.036Z,Selesnya Sanctuary,Selesnya Sanctuary [rav-281],John Avon,common,"['G', 'W']",[],rav,2005-10-07,0,[''],Land,1193.1999999999457,7.784652001141322,11186,,,
278,278,Tiny Leaders,Pre-Accepted,104364d5-ede8-4ac5-900f-19947f51bbc1,2023-05-01T15:21:03.036Z,Golgari Rot Farm,Golgari Rot Farm [rav-278],John Avon,common,"['B', 'G']",[],rav,2005-10-07,0,[''],Land,1242.1000000001088,8.078333669698594,11608,,,
279,279,Tiny Leaders,Pre-Accepted,407d0a0c-a6be-4bd5-8355-1715698c6bde,2023-05-01T15:21:03.036Z,Simic Growth Chamber,Simic Growth Chamber [dis-180],John Avon,common,"['G', 'U']",[],dis,2006-05-05,0,[''],Land,1241.3000000001641,8.363664200761345,12018,,,
280,280,Tiny Leaders,Pre-Accepted,eb348f07-1d48-4877-8a56-60655d64a3f7,1683166381025,Nighthawk Scavenger,Nighthawk Scavenger [znr-115],Heonhwa Choe,rare,['B'],['B'],znr,2020-09-25,3,"['b', 'b', '1']",Creature — Vampire Rogue,1287.899999999755,5.083059021664242,7304,,1+*,3
281,281,Tiny Leaders,Pre-Accepted,0279fd3c-9252-4958-9d7a-5f33aa25907e,1683166393626,Whir of Invention,Whir of Invention [aer-49],Christine Choi,rare,['U'],['U'],aer,2017-01-20,3,"['u', 'u', 'u', 'x']",Instant,1237.4999999999993,1.5686219927205918,2254,,,
282,282,Tiny Leaders,Pre-Accepted,af09af65-0a3b-42df-b0fd-372e2158beac,1683166406755,Academy Ruins,Academy Ruins [tsp-269],Zoltan Boros & Gabor Szikszai,rare,['U'],[],tsp,2006-10-06,0,[''],Legendary Land,1241.3000000006607,5.143604768499509,7391,,,
283,283,Tiny Leaders,Pre-Accepted,5a10b543-d5d4-42a8-9ee8-dada59a2ad7e,1683166466863,"Saheeli, Sublime Artificer","Saheeli, Sublime Artificer [war-234]",Wesley Burt,uncommon,"['R', 'U']","['R', 'U']",war,2019-05-03,3,"['u-r', 'u-r', '1']",Legendary Planeswalker — Saheeli,1377.1999999996422,11.799461351631603,16955,5,,
284,284,Tiny Leaders,Pre-Accepted,60e16d94-1166-4050-8554-686e153a7f80,1683166550249,"Baral, Chief of Compliance","Baral, Chief of Compliance [aer-28]",Wesley Burt,rare,['U'],['U'],aer,2017-01-20,2,"['u', '1']",Legendary Creature — Human Wizard,1317.0999999999008,9.752040809225223,14013,,1,3
285,285,Tiny Leaders,Pre-Accepted,9ed862a2-d3e2-4543-81a6-453a96399d14,1683166598106,"Azusa, Lost but Seeking","Azusa, Lost but Seeking [chk-201]",Todd Lockwood,rare,['G'],['G'],chk,2004-10-01,3,"['g', '2']",Legendary Creature — Human Monk,1343.599999999959,3.7134724725630335,5336,,1,2
286,286,Tiny Leaders,Pre-Accepted,064dfdeb-485f-473e-9fa0-8fdb7638cdc6,1683166669469,Dismember,Dismember [nph-57],Terese Nielsen,uncommon,['B'],['B'],nph,2011-05-13,3,"['b-p', 'b-p', '1']",Instant,1441.5999999998444,14.543505946705825,20898,,,
287,287,Tiny Leaders,Pre-Accepted,f8eb4087-3a4c-4de8-8e29-f4cd71acb180,1683166673230,Eliminate,Eliminate [m21-97],Chris Cold,uncommon,['B'],['B'],m21,2020-07-03,2,"['b', '1']",Instant,1375.9000000002222,4.298052097179403,6176,,,
288,288,Tiny Leaders,Pre-Accepted,371ceb58-f498-4616-a7f0-eb118fe2e4ff,1683166798198,Scavenging Ooze,Scavenging Ooze [cmd-170],Austin Hsu,rare,['G'],['G'],cmd,2011-06-17,2,"['g', '1']",Creature — Ooze,1258.399999999334,17.791402503949392,25565,,2,2
289,289,Tiny Leaders,Pre-Accepted,b6876d9e-0908-43ac-8542-09c7aa02b5ba,1683166801788,Tarmogoyf,Tarmogoyf [fut-153],Justin Murray,rare,['G'],['G'],fut,2007-05-04,2,"['g', '1']",Creature — Lhurgoyf,1340.1999999997265,7.619021107500018,10948,,*,1+*
290,290,Tiny Leaders,Pre-Accepted,e8bf6ed4-48f3-419f-bafd-d1ee4d798482,1683166848875,Herald of Anafenza,Herald of Anafenza [ktk-12],Aaron Miller,rare,['W'],['W'],ktk,2014-09-26,1,['w'],Creature — Human Soldier,1205.000000000042,1.812196836310746,2604,,1,2
291,291,Tiny Leaders,Pre-Accepted,8d42d7aa-7f53-4cfc-842a-086aab2448d1,1683166858382,Brainstorm,Brainstorm [ice-61],Christopher Rush,common,['U'],['U'],ice,1995-06-03,1,['u'],Instant,1474.2000000010346,22.60583326953992,32483,,,
